"Frequency","Word","Sentence"
86,escoba,se recuerda a los padres que a los de primer año no se les permite tener escobas propias.
81,señora,"Para Jessica, a quien le gustan las historias,  para Anne, a quien también le gustaban,  y para Di, "
73,varita,"Ya he leído esas cartas y necesitará toda clase de porquerías: libros de hechizos, varitas y."
73,mago,"Se estremecía y daba vueltas, tratando de ponerse cómodo, con el estómago rugiendo de hambre."
72,colegio,"Dudley se rió como un tonto, burlándose de Harry, que pasó la noche sin dormir imaginando lo que suc"
54,muchacho,"Los muchachos de Smeltings llevaban frac granate, pantalones bombachos de color naranja y sombrero d"
54,magia,Sacó la carta y leyó:    COLEGIO HOGWARTS  DE MAGIA Y HECHICERÍA  Director: Albus Dumbledore (Orden 
51,dragón,Dicen que hay dragones custodiando las cámaras de máxima seguridad.
51,búho,Ninguno vio el gran búho pardo que pasaba volando por la ventana.
48,pasillo,Estaban en un estrecho pasillo de piedra iluminado con antorchas.
46,murmurar,"Se volvió hacia los que murmuraban, como si quisiera decirles algo, pero se contuvo."
35,hacer él,"Fue haciéndose más fuerte mientras miraban a ambos lados de la calle, buscando alguna luz."
33,dar él,El señor Dursley se enfureció al darse cuenta de que dos de los desconocidos no eran jóvenes.
31,agitar,La cola del gato se agitó y sus ojos se entornaron.
30,súbitamente,"Entonces, súbitamente, Hagrid dejó escapar un aullido, como si fuera un perro herido."
30,gemelo,Dudley y Harry compartieron una habitación con camas gemelas y sábanas húmedas y gastadas.
29,alumno,"Harry desdobló otra hoja, que no había visto la noche anterior, y leyó:    COLEGIO HOGWARTS  DE MAGI"
29,oer,"—Los Potter, eso es, eso es lo que he oído."
28,gringotts,"No, la primera parada para nosotros es Gringotts."
28,enfadado,Al pasar los miró enfadado.
28,unicornio,Mientras Hagrid preguntaba al hombre que estaba detrás del mostrador por un surtido de ingredientes 
27,copa,"No podía saber tampoco que, en aquel mismo momento, las personas que se reunían en secreto por todo "
27,andén,"Para Jessica, a quien le gustan las historias,  para Anne, a quien también le gustaban,  y para Di, "
27,dormitorio,"Mientras la señora Dursley estaba en el cuarto de baño, el señor Dursley se acercó lentamente hasta "
26,fluffy,—¿Qué sabéis de Fluffy.
26,cicatriz,"Bajo una mata de pelo negro azabache, sobre la frente, pudieron ver una cicatriz con una forma curio"
26,comedor,La señora Dursley entró en el comedor con dos tazas de té.
26,mágico,Harry estaba dando la vuelta a las monedas mágicas y observándolas.
25,pálido,"Tío Vernon, que estaba muy pálido, susurró algo que sonaba como mimblewimble."
25,ver él,"Pese a que los búhos habitualmente cazan durante la noche y es muy difícil verlos a la luz del día, "
25,estallar,"Tía Petunia estalló en lágrimas y dijo que no podía creer que aquél fuera su pequeño Dudley, tan apu"
24,castillo,"Encaramado en la cima de una alta montaña, al otro lado, con sus ventanas brillando bajo el cielo es"
24,biblioteca,"Ni siquiera era socio de la biblioteca, así que nunca había recibido notas que le reclamaran la devo"
24,trol,"En aquel momento sonó el teléfono y tía Petunia fue a cogerlo, mientras Harry y tío Vernon miraban a"
24,paquete,Llevaba un paquete largo y delgado y no contestó a tía Petunia cuando le preguntó qué había comprado
24,alacena,"Estaba acostumbrado a las arañas, porque la alacena que había debajo de las escaleras estaba llena d"
24,navidad,"Te estoy avisando ahora, chico: cualquier cosa rara, lo que sea, y te quedarás en la alacena hasta N"
23,horrible,"Un nombre vulgar y horrible, si quieres mi opinión."
22,todos,"Pero, de todos modos, aquella gente con capa."
22,goyle,"—Oh, éste es Crabbe y éste Goyle —dijo el muchacho pálido con despreocupación, al darse cuenta de qu"
22,pregunta,Y no hagas preguntas.
22,serpiente,"Detrás de los vidrios, toda clase de serpientes y lagartos se arrastraban y se deslizaban por las pi"
22,atrapar,"El saco de boxeo favorito de Dudley era Harry, pero no podía atraparlo muy a menudo."
22,mamá,"Mira, está debajo de este grande de mamá y papá."
22,bruja,¡Estaban orgullosos de tener una bruja en la familia.
22,inclinar,Dumbledore inclinó la cabeza.
21,sapo,"Si realmente era un mago, ¿por qué no se habían convertido en sapos llenos de verrugas cada vez que "
20,loco,"Cada año, Harry se quedaba con la señora Figg, una anciana loca que vivía a dos manzanas."
20,salvo,"Aquello tampoco estaba mal, pensó Harry, chupándolo mientras observaban a un gorila que se rascaba l"
20,deslizar,"Detrás de los vidrios, toda clase de serpientes y lagartos se arrastraban y se deslizaban por las pi"
20,pastel,"Dejó que Harry viera la televisión y le dio un pedazo de pastel de chocolate que, por el sabor, pare"
20,regalo,La mesa estaba casi cubierta por los regalos de cumpleaños de Dudley.
20,eh,—Eh.
20,decir él,"Se volvió hacia los que murmuraban, como si quisiera decirles algo, pero se contuvo."
20,cocina,"Harry oyó sus pasos en dirección a la cocina, y después el roce de la sartén contra el fogón."
19,torre,"Encaramado en la cima de una alta montaña, al otro lado, con sus ventanas brillando bajo el cielo es"
19,estúpido,"No, estaba comportándose como un estúpido."
19,pelota,"Diez años antes, había una gran cantidad de retratos de lo que parecía una gran pelota rosada con go"
19,cumpleaños,Quiero que todo sea perfecto el día del cumpleaños de Duddy.
19,dormido,"La señora Dursley se quedó dormida rápidamente, pero el señor Dursley permaneció despierto, con todo"
19,chocolate,"Los Dursley compraron a Dudley y a Piers unos grandes helados de chocolate en la entrada, y luego, c"
19,quaffle,—Esta pelota se llama quaffle —dijo Wood—.
19,terrible,"Por otra parte, había tenido un problema terrible cuando lo encontraron en el tejado de la cocina de"
19,utilizar,"También llevaban bastones con nudos, que utilizaban para pelearse cuando los profesores no los veían"
18,reír,Pero en las afueras ocurrió algo que apartó los taladros de su mente.
18,seamus,"Finnigan, Seamus, el muchacho rubio que estaba al lado de Harry en la fila, estuvo sentado un minuto"
18,robar,"Tal vez la casa de Privet Drive estaría tan llena de cartas, cuando regresaran, que podría robar una"
18,salón,"Una vez que acostaron a Dudley, fue al salón a tiempo para ver el informativo de la noche."
18,privet,"Para Jessica, a quien le gustan las historias,  para Anne, a quien también le gustaban,  y para Di, "
17,gruñar,"—Perdón —gruñó, mientras el diminuto viejo se tambaleaba y casi caía al suelo."
17,alegrar,"—Me alegro de verla aquí, profesora McGonagall."
17,poner él,"—gritó la profesora, poniéndose de pie de un salto y señalando el número 4—."
17,rodilla,Yo tengo una en la rodilla izquierda que es un diagrama perfecto del metro de Londres.
17,nervioso,"No sabía por qué, pero lo ponían nervioso."
17,nimbus,"«Mirad —oyó Harry que decía uno—, la nueva Nimbus 2000, la más veloz."
17,buscador,"Wood, te he encontrado un buscador."
17,fang,"Luego se oyó la voz de Hagrid, diciendo:  —Atrás, Fang, atrás."
16,hechizo,"Ya he leído esas cartas y necesitará toda clase de porquerías: libros de hechizos, varitas y."
16,aula,"Los alumnos que esperaban fuera de las aulas se ponían de puntillas para mirarlo, o se daban la vuel"
16,duende,Lo dirigen los duendes.
16,retrato,"Diez años antes, había una gran cantidad de retratos de lo que parecía una gran pelota rosada con go"
16,bote,"Mientras esperaba en el habitual embotellamiento matutino, no pudo dejar de advertir una gran cantid"
16,té,La señora Dursley entró en el comedor con dos tazas de té.
16,curioso,"Bajo una mata de pelo negro azabache, sobre la frente, pudieron ver una cicatriz con una forma curio"
16,mirad,"«Mirad —oyó Harry que decía uno—, la nueva Nimbus 2000, la más veloz."
16,turbante,"Estaba muy extravagante, con un gran turbante púrpura."
16,respirar,"Respiró profundamente y luego sonrió, esforzándose tanto por hacerlo que parecía sentir dolor."
15,vacación,—Está de vacaciones en Mallorca —respondió enfadada tía Petunia.
15,pociones,"Para Jessica, a quien le gustan las historias,  para Anne, a quien también le gustaban,  y para Di, "
15,vigilar,"No estarán vigilando la casa, ¿verdad."
15,prefecto,"Estoy delante, los prefectos tenemos dos compartimentos."
15,hedwig,"Decidió llamarla Hedwig, un nombre que encontró en Historia de la magia."
15,examen,"—Hermione, faltan siglos para los exámenes."
15,prohibido,"Para Jessica, a quien le gustan las historias,  para Anne, a quien también le gustaban,  y para Di, "
15,lechuza,"Así que envía lechuzas a Dumbledore cada mañana, pidiendo consejo."
15,haber él,Rió entre dientes y murmuró:  —Debería haberlo sabido.
15,oreja,"Ganó Dudley, así que Harry, con las gafas colgando de una oreja, se tiró al suelo para escuchar por "
15,bane,"—Hola, Bane —saludó Hagrid—."
15,ronan,"—Oh, eres tú, Ronan —dijo aliviado Hagrid—."
15,buena,"Buenas noches, profesora McGonagall, profesor Dumbledore."
15,rana,"ese colegio, y desapareció, y volvía a casa para las vacaciones con los bolsillos llenos de ranas, y"
15,piers,"—dijo tía Petunia en tono desesperado, y, un momento más tarde, el mejor amigo de Dudley, Piers Polk"
15,jaula,"También había una gran jaula que alguna vez tuvo dentro un loro, pero Dudley lo cambió en el colegio"
14,miró,Miró de nuevo a la serpiente y también le guiñó un ojo.
14,ajedrez,Ron también comenzó a enseñar a Harry a jugar al ajedrez mágico.
14,pomfrey,No me ruborizaba tanto desde que la señora Pomfrey me dijo que le gustaban mis nuevas orejeras.
14,chimenea,Sólo las fotos de la repisa de la chimenea eran testimonio del tiempo que había pasado.
14,filosofal,—Nicolás Flamel —susurró con tono teatral— es el único descubridor conocido de la Piedra Filosofal.
14,sonreir,"Harry levantó la vista ante el rostro, feroz, salvaje y peludo, y vio que los ojos negros le sonreía"
14,encantamiento,encantamientos.
14,londres,Yo tengo una en la rodilla izquierda que es un diagrama perfecto del metro de Londres.
14,vestíbulo,"Harry estaba pensando en el día anterior, y con amargura deseó haber abierto la carta en el vestíbul"
14,bonito,Había sido bonito.
13,habéis,¿Habéis oído eso.
13,comida,"Estuvo de muy buen humor hasta la hora de la comida, cuando decidió estirar las piernas y dirigirse "
13,adónde,Ni siquiera tía Petunia se atrevía a preguntarle adónde iban.
13,profundamente,"Entre ellas se veía a un niño pequeño, profundamente dormido."
13,quejar,"Mientras conducía, tío Vernon se quejaba a tía Petunia."
13,desagradable,Dicen que encontró vampiros en la Selva Negra y que tuvo un desagradable problema con una hechicera.
13,barba,"Era alto, delgado y muy anciano, a juzgar por su pelo y barba plateados, tan largos que habría podid"
13,furia,En su furia parecía llenar toda la habitación.
13,vosotro,—¿Vosotros lo sabíais.
13,estrechar,"Un hombre calvo, con un abrigo largo, color púrpura, le había estrechado la mano en la calle y se ha"
13,patada,"Lo he visto dando patadas a su madre mientras subían por la escalera, pidiendo caramelos a gritos."
13,desesperado,"—dijo tía Petunia en tono desesperado, y, un momento más tarde, el mejor amigo de Dudley, Piers Polk"
13,resoplar,La profesora McGonagall resopló enfadada.
13,vais,—¿Por qué vais a Londres.
13,flint,"Harry notó que parecía dirigirse especialmente al capitán de Slytherin, Marcus Flint, un muchacho de"
12,fiesta,¿Cuando podría haber estado de fiesta.
12,helado,El señor Dursley se quedó completamente helado.
12,aterrorizado,"Dudley chilló y corrió a esconderse detrás de su madre, que estaba agazapada, aterrorizada, detrás d"
12,punta,"Estaba muy ocupado revolviendo en su capa, buscando algo, pero pareció darse cuenta de que lo observ"
12,norris,"Filch tenía una gata llamada Señora Norris, una criatura flacucha y de color arena, con ojos saltone"
12,cena,Debo de haber pasado por una docena de celebraciones y fiestas en mi camino hasta aquí.
12,centauro,Se acercó y estrechó la mano del centauro.
12,preguntar él,"Después de preguntarle con ira si conocía al hombre, tía Petunia se los había llevado de la tienda s"
12,preocupado,"Aquella tarde le costó concentrarse en los taladros, y cuando dejó el edificio, a las cinco en punto"
12,baúl,"Dos horas más tarde, el pesado baúl de Harry estaba cargado en el coche de los Dursley, tía Petunia "
12,moneda,"Finalmente, Harry sacó un puñado de monedas de aspecto extraño."
12,gordo,"La razón exacta por la que Dudley podía querer una bicicleta era un misterio para Harry, ya que Dudl"
12,poción,"— Filtros y pociones mágicas, Arsenius Jigger."
12,jadear,"Después de un minuto de confusa lucha, en la que todos recibieron golpes del bastón, tío Vernon se e"
12,súbito,"Un hombre apareció en la esquina que el gato había estado observando, y lo hizo tan súbita y silenci"
12,bastón,"También llevaban bastones con nudos, que utilizaban para pelearse cuando los profesores no los veían"
12,scabbers,"—Se llama Scabbers y no sirve para nada, casi nunca se despierta."
12,púrpura,"Llevaba una túnica larga, una capa color púrpura que barría el suelo y botas con tacón alto y hebill"
12,sendero,"Resbalando y a tientas, siguieron a Hagrid por lo que parecía un empinado y estrecho sendero."
12,dejar él,—dijo en voz baja tía Petunia— y dejarlo en el coche.
11,ventanilla,"Se levantó del asiento y apretó la nariz contra la ventanilla, pero parpadeó y Hagrid ya no estaba."
11,sentir él,"Hagrid miró a Harry con afecto y respeto brillando en sus ojos, pero Harry, en lugar de sentirse com"
11,tonto,"—No seas tonto, Vernon, ella no aguanta al chico."
11,griphook,¡Griphook.
11,divertido,Dudley encontraba eso muy divertido.
11,cabello,Su cabello negro estaba recogido en un moño.
11,rata,"En lugar de eso dijo, tratando de parecer despreocupado:  —El hijo de ellos."
11,sabor,"Dejó que Harry viera la televisión y le dio un pedazo de pastel de chocolate que, por el sabor, pare"
11,morder,"Por lo que Harry había visto, la serpiente no había hecho más que darles un golpe juguetón en los pi"
11,guardián,"Para Jessica, a quien le gustan las historias,  para Anne, a quien también le gustaban,  y para Di, "
11,hooch,"Los que estén interesados en jugar para los equipos de sus casas, deben ponerse en contacto con la s"
11,bigote,"Era un hombre corpulento y rollizo, casi sin cuello, aunque con un bigote inmenso."
11,cerdo,Harry decía a menudo que Dudley parecía un cerdo con peluca.
11,aplaudir,"—anunció alegremente tío Vernon, aplaudiendo—."
11,custodiar,Dicen que hay dragones custodiando las cámaras de máxima seguridad.
11,interesante,"—Hum —contestó Harry, deseando poder decir algo más interesante."
11,mirar él,Se volvió para mirarlos.
11,broma,—Se rió de su propia broma.
11,oscuras,Lo encendió otra vez y la siguiente lámpara quedó a oscuras.
11,tontería,"Eran las últimas personas que se esperaría encontrar relacionadas con algo extraño o misterioso, por"
11,suspirar,Harry suspiró y se estiró en la cama.
11,halloween,"Para Jessica, a quien le gustan las historias,  para Anne, a quien también le gustaban,  y para Di, "
11,valiente,Un hombre más valiente que Vernon Dursley se habría acobardado ante la mirada furiosa que le dirigió
11,poquito,"Yo creía que serían un poquito más prudentes, pero no."
11,peligroso,"Si había algo que desagradaba a los Dursley aún más que las preguntas que Harry hacía, era que habla"
11,medianoche,"Para Jessica, a quien le gustan las historias,  para Anne, a quien también le gustaban,  y para Di, "
11,húmedo,Dudley y Harry compartieron una habitación con camas gemelas y sábanas húmedas y gastadas.
11,trampilla,"Para Jessica, a quien le gustan las historias,  para Anne, a quien también le gustaban,  y para Di, "
11,albus,El nombre de aquel hombre era Albus Dumbledore.
11,furioso,La profesora McGonagall parpadeó furiosamente.
11,draco,"Y mi nombre es Malfoy, Draco Malfoy."
11,ravenclaw,"He oído que Dumbledore estuvo allí, pero supongo que Ravenclaw no será tan mala."
10,bolsa,"Cuando regresaba con un dónut gigante en una bolsa de papel, alcanzó a oír unas pocas palabras de su"
10,pata,"Lo he visto dando patadas a su madre mientras subían por la escalera, pidiendo caramelos a gritos."
10,arrojar,"A las ocho y media, el señor Dursley cogió su maletín, besó a la señora Dursley en la mejilla y trat"
10,chorreante,El Caldero Chorreante.
10,jersey,"Otra vez, tía Petunia había tratado de meterlo dentro de un repugnante jersey viejo de Dudley (marró"
10,pegar,"La razón exacta por la que Dudley podía querer una bicicleta era un misterio para Harry, ya que Dudl"
10,árbitro,Harry se enteró de que había setecientas formas de cometer una falta y de que todas se habían produc
10,pergamino,"Potter  Alacena Debajo de la Escalera  Privet Drive, 4  Little Whinging  Surrey    El sobre era grue"
10,tenéis,Este año tenéis que portaros bien.
10,impresionado,Hagrid parecía impresionado.
10,ropa,El señor Dursley no soportaba a la gente que llevaba ropa ridícula.
10,vaya,"Vaya, esto es difícil."
10,muñeca,"Cuanto más intentaba pasárselo por la cabeza, más pequeña se volvía la prenda, hasta que finalmente "
10,salchicha,"El gigante volvió a sentarse en el sofá, que se hundió bajo su peso, y comenzó a sacar toda clase de"
10,asombrado,La mujer los miró asombrada.
10,habitualmente,"Pese a que los búhos habitualmente cazan durante la noche y es muy difícil verlos a la luz del día, "
10,susurró,—susurró la profesora McGonagall.
10,rubio,"La señora Dursley era delgada, rubia y tenía un cuello casi el doble de largo de lo habitual, lo que"
10,desayuno,"A la mañana siguiente, cuando Harry fue a tomar el desayuno, un olor horrible inundaba toda la cocin"
